Lane,Sample,Index
*,MIDAS_2_batch62_VDJ,SI-TT-A4
*,MIDAS_2_batch63_GEX,SI-TT-A12
*,MIDAS_2_batch64_GEX,SI-TT-B12
*,MIDAS_2_batch65_GEX,SI-TT-C12
*,MIDAS_2_batch66_GEX,SI-TT-A3
*,MIDAS_2_batch67_GEX,SI-TT-B3
*,MIDAS_2_batch63_VDJ,SI-TT-B4
*,MIDAS_2_batch64_VDJ,SI-TT-C4
*,MIDAS_2_batch65_VDJ,SI-TT-D4
*,MIDAS_2_batch66_VDJ,SI-TT-E4
*,MIDAS_2_batch67_VDJ,SI-TT-F4
*,MIDAS_2_batch68_GEX,SI-TT-C3
*,MIDAS_2_batch69_GEX,SI-TT-D3
*,MIDAS_2_batch70_GEX,SI-TT-E3
*,MIDAS_2_batch71_GEX,SI-TT-F3
*,MIDAS_2_batch72_GEX,SI-TT-G3
*,MIDAS_2_batch73_GEX,SI-TT-H3
*,MIDAS_2_batch68_VDJ,SI-TT-G4
*,MIDAS_2_batch69_VDJ,SI-TT-H4
*,MIDAS_2_batch70_VDJ,SI-TT-G2
*,MIDAS_2_batch71_VDJ,SI-TT-H2
*,MIDAS_2_batch72_VDJ,SI-TT-A5
*,MIDAS_2_batch73_VDJ,SI-TT-B5
